task_id,actv_code_type_id,actv_code_id,proj_id
106241,1736,7498,4680
106241,1737,7511,4680
106242,1734,7490,4680
106242,1735,7492,4680
106242,1736,7498,4680
106242,1737,7511,4680
106243,1734,7490,4680
106243,1735,7493,4680
106243,1736,7514,4680
106243,1737,7506,4680
106244,1734,7490,4680
106244,1735,7493,4680
106244,1736,7499,4680
106244,1737,7506,4680
106245,1734,7490,4680
106245,1735,7493,4680
106245,1736,7499,4680
106245,1737,7506,4680
106246,1734,7490,4680
106246,1735,7493,4680
106246,1736,7499,4680
106246,1737,7506,4680
106247,1734,7490,4680
106247,1735,7493,4680
106247,1736,7499,4680
106247,1737,7506,4680
106248,1734,7490,4680
106248,1735,7493,4680
106248,1736,7514,4680
106248,1737,7507,4680
106249,1734,7490,4680
106249,1735,7493,4680
106249,1736,7499,4680
106249,1737,7507,4680
106250,1734,7490,4680
106250,1735,7493,4680
106250,1736,7499,4680
106250,1737,7507,4680
106251,1734,7490,4680
106251,1735,7493,4680
106251,1736,7499,4680
106251,1737,7507,4680
106252,1734,7490,4680
106252,1735,7493,4680
106252,1736,7499,4680
106252,1737,7507,4680
106253,1734,7490,4680
106253,1735,7493,4680
106253,1736,7499,4680
106253,1737,7507,4680
106254,1734,7490,4680
106254,1735,7493,4680
106254,1736,7514,4680
106254,1737,7508,4680
106255,1734,7490,4680
106255,1735,7493,4680
106255,1736,7499,4680
106255,1737,7508,4680
106256,1734,7490,4680
106256,1735,7493,4680
106256,1736,7499,4680
106256,1737,7508,4680
106257,1734,7490,4680
106257,1735,7493,4680
106257,1736,7499,4680
106257,1737,7508,4680
106258,1734,7490,4680
106258,1735,7493,4680
106258,1736,7499,4680
106258,1737,7508,4680
106259,1734,7490,4680
106259,1735,7493,4680
106259,1736,7499,4680
106259,1737,7508,4680
106260,1734,7490,4680
106260,1735,7493,4680
106260,1736,7514,4680
106260,1737,7509,4680
106261,1734,7490,4680
106261,1735,7493,4680
106261,1736,7499,4680
106261,1737,7509,4680
106262,1734,7490,4680
106262,1735,7493,4680
106262,1736,7499,4680
106262,1737,7509,4680
106263,1734,7490,4680
